class,threshold,val_dice,val_iou,val_precision,val_recall
Hard Exudate,0.3,0.41265792159465453,0.2688447381441365,0.3048067474016327,0.731568247617635
Hard Exudate,0.32,0.41677827693564057,0.27221382379494297,0.31095190436740106,0.7245233318164449
Hard Exudate,0.34,0.4213432028621822,0.2760524851199071,0.31730617692052054,0.7188002089504391
Hard Exudate,0.36,0.4254666157185305,0.27934185594340805,0.3233895104105551,0.714001617587892
Hard Exudate,0.38,0.4303863100479799,0.28329210840469926,0.3305102096426488,0.7092071314469419
Hard Exudate,0.4,0.43273016385970775,0.2852370066308373,0.3353600686016647,0.7027475580330715
Hard Exudate,0.42,0.43620398078634365,0.2880595621024184,0.34118174414917796,0.697264832513478
Hard Exudate,0.44,0.4404485963466995,0.29148019878057574,0.34766998085637674,0.693525752480562
Hard Exudate,0.46,0.44222515188494876,0.2930947701616755,0.35273788420507945,0.6863316033356117
Hard Exudate,0.48,0.4450154262746135,0.2953986262652084,0.35786521426913737,0.6813626936072162
Hard Exudate,0.5,0.4480657314046631,0.2978806960324328,0.36322534422833547,0.6770399309695597
Hard Exudate,0.52,0.4508543049054346,0.30029031131248574,0.3682520608435606,0.6732053436704949
Hard Exudate,0.54,0.4525755917215017,0.301905640249962,0.37418312901220824,0.6667409039885995
Hard Exudate,0.56,0.45676349534369026,0.30539223473629096,0.38162211354740044,0.6633188467166491
Hard Exudate,0.58,0.4591855573760981,0.3074876553873383,0.38773006060362114,0.6580419581438051
Hard Exudate,0.6,0.4618178759959997,0.30976232331908177,0.3944972040182867,0.6527119245471559
Hard Exudate,0.62,0.46445660520006926,0.3120952666431422,0.4011684729337164,0.6472845650765963
Hard Exudate,0.64,0.46789347011397875,0.3150575823325489,0.408925352777074,0.642944837526189
Hard Exudate,0.66,0.46886527437468833,0.31624668975594794,0.4139365047218481,0.6364399942932107
Hard Exudate,0.68,0.47047419881499924,0.31801118539156953,0.4201938842265657,0.6295516186896931
